school,major,2017,2018,2019,2020,rankEstimatedByPoly,rankEstimatedBySVR,avg,cov
南京师范大学,化学类（含化学、应用化学）,16274.0,16274.0,16274.0,16274.0,16125.0,16199.0,16274.0,0.0
南京师范大学,能源动力类（含能源与动力工程、能源与环境系统工程）,16274.0,16274.0,16274.0,16274.0,16125.0,16199.0,16274.0,0.0
南京师范大学,生物科学类（含生物科学（基地班）、生物技术）,16274.0,16274.0,16274.0,16274.0,16125.0,16199.0,16274.0,0.0
南京师范大学,人文地理与城乡规划,16274.0,16274.0,16274.0,16274.0,16125.0,16199.0,16274.0,0.0
南京师范大学,环境科学与工程类（含环境科学、环境工程）,16274.0,16274.0,16274.0,16274.0,16125.0,16199.0,16274.0,0.0
南京师范大学,自然地理与资源环境,16274.0,16274.0,16274.0,16274.0,16125.0,16199.0,16274.0,0.0
南京师范大学,英语（单列专业）,30539.0,34358.5,38178.0,34358.5,35805.0,36350.0,34358.5,3118.6086908534494
南京师范大学,电气类（电气工程及其自动化）（中外合作办学）,39446.0,38010.0,38728.0,38728.0,39037.0,38236.0,38728.0,586.2445451061074
北京外国语大学,德语,605.0,2410.0,3241.0,2085.3333333333335,2525.0,3039.0,2085.3333333333335,1100.357618635364
北京外国语大学,西班牙语,2054.0,2673.0,3591.0,2772.6666666666665,3126.0,3441.0,2772.6666666666665,631.4229081122168
北京外国语大学,法语,2716.0,3300.0,3591.0,3202.3333333333335,3412.0,3555.0,3202.3333333333335,363.83176820552046
北京外国语大学,金融学,3252.0,4417.0,3133.0,3600.6666666666665,3523.0,3417.0,3600.6666666666665,579.2756012661177
北京外国语大学,英语,3565.0,2410.0,4432.0,3469.0,3906.0,4203.0,3469.0,828.2644505228991
北京外国语大学,经济与贸易类（国际经济与贸易）（中外合作办学）,3565.0,4851.0,4208.0,4208.0,4282.0,4278.0,4208.0,525.0073015365278
北京外国语大学,新闻学,4221.0,4258.5,4296.0,4258.5,4346.0,4350.0,4258.5,30.618621784789728
北京外国语大学,工商管理类,4948.0,4948.0,4948.0,4948.0,5015.0,4992.0,4948.0,0.0
中国地质大学（北京）,会计学,17298.0,25636.0,26577.0,23170.333333333332,24611.0,24836.0,23170.333333333332,4170.0994659067255
中国地质大学（北京）,计算机科学与技术,17298.0,21640.0,15351.0,18096.333333333332,16734.0,16633.0,18096.333333333332,2628.799768377619
中国地质大学（北京）,地质工程,20464.0,25636.0,25355.0,23818.333333333332,24325.0,24452.0,23818.333333333332,2374.64444122109
中国地质大学（北京）,土木工程,20464.0,22922.0,25355.0,22913.666666666668,23869.0,24046.0,22913.666666666668,1996.7510833573845
中国地质大学（北京）,安全工程,20464.0,25636.0,26845.0,24315.0,25259.0,25486.0,24315.0,2767.438165524209
中国地质大学（北京）,数学与应用数学,20464.0,27025.0,25355.0,24281.333333333332,24588.0,24653.0,24281.333333333332,2784.031888386977
中国地质大学（北京）,软件工程,21596.0,25636.0,22552.0,23261.333333333332,22874.0,22776.0,23261.333333333332,1723.9035807015298
中国地质大学（北京）,机械设计制造及其自动化,22781.0,22781.0,22781.0,22781.0,22650.0,22658.0,22781.0,0.0
中国地质大学（北京）,材料科学与工程,22781.0,21640.0,28088.0,24169.666666666668,25818.0,26119.0,24169.666666666668,2809.5637067385073
