school,major,2017,2018,2019,2020,rankEstimatedByPoly,rankEstimatedBySVR,avg,cov
同济大学,法学,488.0,353.0,420.5,420.5,429.0,434.0,420.5,55.113519212621505
同济大学,新闻传播学类,488.0,353.0,420.5,420.5,429.0,434.0,420.5,55.113519212621505
同济大学,城乡规划,547.0,153.0,350.0,350.0,359.0,363.0,350.0,160.84982644276204
同济大学,政治学与行政学,547.0,547.0,547.0,547.0,555.0,558.0,547.0,0.0
同济大学,人文科学试验班（哲学、文化产业管理、汉语言文学）,547.0,180.0,363.5,363.5,373.0,377.0,363.5,149.82712260023774
上海交通大学,经济学类,26.0,26.0,26.0,26.0,36.0,24.0,26.0,0.0
南京财经大学,会计学,5197.0,6565.0,6311.0,6024.333333333333,6128.0,6137.0,6024.333333333333,594.1320466772424
南京财经大学,审计学,6276.0,6958.0,6665.0,6633.0,6650.0,6608.0,6633.0,279.3432774681837
南京财经大学,金融学,6658.0,7758.0,7038.0,7151.333333333333,7122.0,7047.0,7151.333333333333,456.1676105214934
南京财经大学,法语,7046.0,7758.0,7856.0,7553.333333333333,7689.0,7651.0,7553.333333333333,360.96290975974557
南京财经大学,财务管理,7046.0,7758.0,7445.0,7416.333333333333,7446.0,7383.0,7416.333333333333,291.3787150008654
南京财经大学,旅游管理,7445.0,8191.0,8402.0,8012.666666666667,8192.0,8135.0,8012.666666666667,410.53975311641733
南京财经大学,法学,7445.0,8191.0,7856.0,7830.666666666667,7867.0,7799.0,7830.666666666667,305.07958888715507
南京财经大学,广告学,7445.0,8191.0,7856.0,7830.666666666667,7867.0,7799.0,7830.666666666667,305.07958888715507
南京财经大学,社会工作,7445.0,8191.0,7818.0,7818.0,7844.0,7776.0,7818.0,304.5532246860418
南京财经大学,网络与新媒体,7445.0,8191.0,7856.0,7830.666666666667,7867.0,7799.0,7830.666666666667,305.07958888715507
南京财经大学,新闻学,7445.0,8191.0,7856.0,7830.666666666667,7867.0,7799.0,7830.666666666667,305.07958888715507
南京财经大学,英语,7445.0,8191.0,7856.0,7830.666666666667,7867.0,7799.0,7830.666666666667,305.07958888715507
南京财经大学,保险学,7445.0,8191.0,7856.0,7830.666666666667,7867.0,7799.0,7830.666666666667,305.07958888715507
南京财经大学,投资学,7445.0,7758.0,7856.0,7686.333333333333,7775.0,7719.0,7686.333333333333,175.27565591249558
南京财经大学,市场营销,7445.0,8191.0,7856.0,7830.666666666667,7867.0,7799.0,7830.666666666667,305.07958888715507
南京财经大学,工商管理,7445.0,8191.0,7856.0,7830.666666666667,7867.0,7799.0,7830.666666666667,305.07958888715507
南京财经大学,房地产开发与管理,7445.0,8191.0,7818.0,7818.0,7844.0,7776.0,7818.0,304.5532246860418
南京财经大学,财政学,7445.0,7758.0,7038.0,7413.666666666667,7286.0,7188.0,7413.666666666667,294.7726053908146
南京财经大学,公共事业管理,7445.0,8191.0,7818.0,7818.0,7844.0,7776.0,7818.0,304.5532246860418
南京财经大学,劳动与社会保障,7445.0,8191.0,7856.0,7830.666666666667,7867.0,7799.0,7830.666666666667,305.07958888715507
南京财经大学,物流管理,7445.0,8191.0,7856.0,7830.666666666667,7867.0,7799.0,7830.666666666667,305.07958888715507
南京财经大学,人力资源管理,7445.0,8191.0,7856.0,7830.666666666667,7867.0,7799.0,7830.666666666667,305.07958888715507
南京财经大学,税收学,7445.0,8191.0,7856.0,7830.666666666667,7867.0,7799.0,7830.666666666667,305.07958888715507
南京财经大学,经济学（基地班）,7445.0,7445.0,7445.0,7445.0,7464.0,7398.0,7445.0,0.0
南京财经大学,信用管理,7445.0,8191.0,7856.0,7830.666666666667,7867.0,7799.0,7830.666666666667,305.07958888715507
南京财经大学,国际经济与贸易,7445.0,8191.0,7856.0,7830.666666666667,7867.0,7799.0,7830.666666666667,305.07958888715507
南京财经大学,贸易经济,7445.0,8191.0,7856.0,7830.666666666667,7867.0,7799.0,7830.666666666667,305.07958888715507
南京财经大学,工商管理类（工商管理（环境商务））（中外合作办学）,12661.0,12126.0,12393.5,12393.5,12459.0,12419.0,12393.5,218.41283539816672
重庆大学,经济学类,1067.0,913.5,760.0,913.5,848.0,851.0,913.5,125.33222517240594
重庆大学,德语,1260.0,1260.0,1260.0,1260.0,1264.0,1249.0,1260.0,0.0
重庆大学,法学类,1260.0,1279.5,1299.0,1279.5,1292.0,1278.0,1279.5,15.921683328090658
重庆大学,公共管理类,1260.0,1279.5,1299.0,1279.5,1292.0,1278.0,1279.5,15.921683328090658
重庆大学,人文科学试验班（含汉语言文学等4个专业）,1260.0,1260.0,1260.0,1260.0,1264.0,1249.0,1260.0,0.0
重庆大学,英语,1374.0,1374.0,1374.0,1374.0,1377.0,1362.0,1374.0,0.0
重庆大学,日语,1374.0,1374.0,1374.0,1374.0,1377.0,1362.0,1374.0,0.0
重庆大学,新闻传播学类,1374.0,1401.5,1429.0,1401.5,1417.0,1402.0,1401.5,22.453655975512465
重庆大学,风景园林,1474.0,1386.5,1299.0,1386.5,1350.0,1336.0,1386.5,71.44345083117604
西南大学,新闻学,2624.0,3637.0,3865.0,3375.3333333333335,3558.0,3673.0,3375.3333333333335,539.3652648149387
西南大学,英语,3280.0,3184.0,3865.0,3443.0,3599.0,3701.0,3443.0,300.96179159488
西南大学,日语,3280.0,5057.0,2845.0,3727.3333333333335,3349.0,3260.0,3727.3333333333335,956.8407507115393
西南大学,德语,3537.0,3637.0,3865.0,3679.6666666666665,3740.0,3797.0,3679.6666666666665,137.26211745739934
西南大学,法学,4009.0,3637.0,3622.0,3756.0,3689.0,3691.0,3756.0,179.00279327429502
西南大学,文化产业管理,4009.0,3894.0,4118.0,4007.0,4037.0,4072.0,4007.0,91.45855163223757
西南大学,中国语言文学类,4009.0,3637.0,3622.0,3756.0,3689.0,3691.0,3756.0,179.00279327429502
南京工业大学,会计学,9331.0,9331.0,9331.0,9331.0,9387.0,9349.0,9331.0,0.0
南京工业大学,金融学,9844.0,10578.0,11600.0,10674.0,11146.0,11147.0,10674.0,720.0907350234876
